analizo_cbo_skewness,analizo_anpm_standard_deviation,analizo_accm_skewness,analizo_lcom4_quantile_upper,analizo_npm_mode,analizo_acc_quantile_upper,analizo_sc_quantile_median,analizo_npa_quantile_max,analizo_cbo_variance,analizo_sc_variance,analizo_noa_quantile_median,analizo_accm_standard_deviation,analizo_mmloc_sum,analizo_rfc_quantile_ninety_five,analizo_npm_quantile_lower,analizo_rfc_mode,analizo_nom_quantile_upper,analizo_rfc_kurtosis,analizo_noc_quantile_median,analizo_lcom4_quantile_min,analizo_npa_kurtosis,analizo_loc_kurtosis,analizo_npa_variance,analizo_npa_standard_deviation,folder,analizo_acc_standard_deviation,analizo_lcom4_quantile_max,analizo_npm_quantile_min,analizo_noa_skewness,analizo_cbo_mode,analizo_acc_skewness,analizo_loc_mode,analizo_noc_kurtosis,analizo_anpm_quantile_ninety_five,analizo_noa_standard_deviation,analizo_accm_quantile_lower,analizo_acc_variance,analizo_accm_quantile_median,analizo_amloc_quantile_lower,analizo_mmloc_quantile_upper,analizo_accm_mode,analizo_npm_variance,analizo_sc_skewness,analizo_rfc_sum,analizo_lcom4_quantile_median,analizo_sc_quantile_ninety_five,analizo_nom_mode,analizo_amloc_quantile_ninety_five,analizo_lcom4_kurtosis,analizo_acc_kurtosis,analizo_noa_quantile_ninety_five,analizo_anpm_quantile_min,analizo_noa_quantile_upper,analizo_nom_quantile_lower,analizo_dit_sum,analizo_dit_mean,analizo_mmloc_kurtosis,analizo_nom_sum,analizo_noc_mean,analizo_cbo_mean,analizo_npm_quantile_median,analizo_accm_quantile_max,analizo_noc_quantile_max,analizo_npa_sum,analizo_loc_quantile_max,analizo_change_cost,analizo_noa_quantile_min,analizo_noa_quantile_lower,analizo_noa_mode,analizo_loc_quantile_min,analizo_npm_kurtosis,analizo_noc_quantile_upper,analizo_accm_kurtosis,analizo_sc_sum,analizo_dit_quantile_median,analizo_npa_mean,analizo_anpm_mode,analizo_noa_variance,analizo_anpm_quantile_max,analizo_acc_sum,analizo_noc_skewness,analizo_noa_mean,analizo_cbo_sum,analizo_lcom4_quantile_lower,analizo_loc_sum,analizo_noa_quantile_max,analizo_dit_standard_deviation,analizo_anpm_mean,analizo_rfc_quantile_lower,analizo_sc_quantile_lower,analizo_dit_quantile_max,analizo_sc_mean,analizo_mmloc_mean,analizo_npm_mean,analizo_dit_quantile_lower,analizo_amloc_skewness,analizo_dit_quantile_min,analizo_sc_kurtosis,analizo_mmloc_quantile_lower,analizo_total_cof,analizo_noa_kurtosis,analizo_dit_variance,analizo_npm_sum,analizo_npa_mode,analizo_sc_quantile_min,analizo_cbo_quantile_upper,analizo_npm_quantile_max,analizo_total_modules_with_defined_methods,analizo_acc_quantile_median,analizo_nom_kurtosis,analizo_acc_quantile_ninety_five,analizo_loc_skewness,analizo_sc_quantile_upper,analizo_total_methods_per_abstract_class,analizo_noc_variance,analizo_anpm_quantile_lower,analizo_sc_standard_deviation,analizo_npa_quantile_ninety_five,analizo_rfc_variance,analizo_rfc_quantile_max,analizo_anpm_variance,analizo_accm_sum,analizo_loc_quantile_ninety_five,analizo_nom_standard_deviation,analizo_dit_kurtosis,analizo_cbo_quantile_ninety_five,analizo_npm_skewness,analizo_loc_quantile_lower,analizo_total_abstract_classes,analizo_nom_quantile_min,analizo_lcom4_sum,analizo_nom_quantile_max,type,analizo_total_modules_with_defined_attributes,analizo_noc_standard_deviation,analizo_anpm_sum,analizo_loc_quantile_median,analizo_loc_quantile_upper,analizo_dit_quantile_ninety_five,analizo_mmloc_quantile_max,analizo_accm_quantile_upper,analizo_dit_quantile_upper,analizo_cbo_standard_deviation,analizo_acc_quantile_max,analizo_amloc_quantile_max,analizo_npa_quantile_upper,analizo_amloc_kurtosis,analizo_noc_quantile_min,analizo_accm_quantile_min,analizo_npa_skewness,analizo_mmloc_quantile_min,analizo_acc_quantile_min,analizo_cbo_quantile_median,analizo_anpm_quantile_median,analizo_accm_mean,analizo_anpm_kurtosis,analizo_npa_quantile_lower,analizo_dit_mode,analizo_rfc_quantile_upper,analizo_mmloc_quantile_ninety_five,analizo_noc_mode,analizo_lcom4_mean,analizo_cbo_quantile_min,analizo_noa_sum,analizo_mmloc_skewness,analizo_noc_quantile_lower,analizo_loc_mean,analizo_lcom4_variance,analizo_accm_variance,analizo_total_modules,analizo_nom_mean,analizo_npm_quantile_upper,analizo_amloc_mode,analizo_loc_standard_deviation,analizo_noc_sum,analizo_mmloc_standard_deviation,analizo_anpm_skewness,analizo_sc_quantile_max,analizo_rfc_standard_deviation,analizo_nom_quantile_ninety_five,analizo_accm_quantile_ninety_five,analizo_acc_quantile_lower,analizo_anpm_quantile_upper,analizo_dit_skewness,analizo_mmloc_variance,analizo_amloc_mean,analizo_acc_mean,analizo_npa_quantile_min,analizo_amloc_sum,analizo_nom_quantile_median,analizo_amloc_quantile_upper,analizo_cbo_quantile_lower,analizo_sc_mode,analizo_lcom4_mode,analizo_total_loc,analizo_mmloc_mode,analizo_rfc_skewness,analizo_npa_quantile_median,analizo_cbo_kurtosis,analizo_nom_skewness,analizo_cbo_quantile_max,analizo_lcom4_standard_deviation,analizo_amloc_standard_deviation,analizo_rfc_quantile_median,analizo_lcom4_quantile_ninety_five,analizo_rfc_quantile_min,analizo_total_nom,analizo_noc_quantile_ninety_five,analizo_npm_standard_deviation,analizo_nom_variance,analizo_lcom4_skewness,analizo_loc_variance,analizo_amloc_quantile_min,analizo_rfc_mean,analizo_acc_mode,analizo_mmloc_quantile_median,analizo_amloc_quantile_median,analizo_npm_quantile_ninety_five,analizo_amloc_variance
,,,,,,,,,,,,,,,,,,,,,,,,MifareClassicTool-master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,0,,,,Security,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,
2.06747613209,0.515166830683,2.32202724673,3,1,1,2,27,4.73190522558,2951.71665044,3,1.60164522623,2094,99,1,1,8,10.2093874013,0,1,53.9829571027,6.25470139656,10.711781889,3.27288586556,engine-master,3.11574823271,40,0,1.98986836651,0,3.32309813334,31,23.7848492823,1.48275862069,6.21765241534,1,9.70788704966,1.41666666667,3.85714285714,39.5,1,170.224602402,8.51923021393,1932,1,24,1,36,17.0101372223,11.9123521648,22,0,7,1.5,85,1.07594936709,24.3442804054,678,0.341772151899,1.6835443038,3,9,9,65,435,0.08,0,0.5,0,1,9.43049062529,0,6.2002366782,808,1,0.822784810127,1,38.6592015579,3,125,4.89927232436,4.73417721519,133,1,5288,29,0.780731936312,0.602305357266,6.5,0,2,10.2278481013,26.5063291139,7.82278481013,0,1.66184331178,0,74.3009655793,6.5,0.0202856215514,3.94493233521,0.609542356378,618,0,0,2,73,79,1,9.43057418132,9,2.34207470114,5,6.22222222222,2.27913015255,0.211111111111,54.3297032059,4,1136.02044791,193,0.265396863436,164.914923297,247,13.3133898233,-1.33648835044,6,2.97544668948,19,9,1,285,76,Security,59,1.5096788243,47.582123224,37,75,2,211,2.61111111111,2,2.17529428482,17,50,0,3.0538735716,0,1,6.93972110598,1,0,1,0.5,2.08753067464,4.94994383176,0,1,33,59,0,3.60759493671,0,374,3.88919610811,0,66.9367088608,38.9594287569,2.56526743072,79,8.58227848101,7,1,80.7448246769,27,27.7404977576,1.47584676912,480,33.7049024313,41,5,0,1,-0.13453674751,769.535215839,12.0882722409,1.58227848101,0,954.973507035,4,16.3333333333,0,0,1,5288,3,2.91985168032,0,5.99728469078,2.91457039392,12,6.24174885404,10.7264369535,13,19,1,678,2,13.0470150763,177.246348588,3.8815045354,6519.72671211,1,24.4556962025,0,21,8.77777777778,41,115.056449718
0.972298278651,1.07817123599,3.08701542107,4,1,2,1,6,4.33298392732,145.142208246,1,2.18751392879,1500,40,2,3,7,2.38073307942,0,1,17.8437288372,15.3674741467,1.26904262753,1.12651792153,powerauth-crypto-master,3.54707781227,9,1,1.67526029863,0,3.39896940884,14,14.4737822731,3.5,2.71555037451,1,12.5817610063,1.5,3.5,41,1,10.8081761006,3.23447898441,768,2,40,1,60,0.647764767537,12.3645640023,9,0,2,2,8,0.148148148148,2.41622663807,242,0.111111111111,1.68518518519,3,12,2,16,446,0.08,0,0,0,3,-0.416605621679,0,10.0215037995,319,0,0.296296296296,1,7.37421383648,4,93,3.9923351554,1.94444444444,91,1,3023,10,0.358582503199,1.26534324729,4,0,1,5.90740740741,27.7777777778,4.38888888889,0,1.79071403925,0,11.3631522017,5,0.0324947589099,1.78693391163,0.1285814116,237,0,0,3,12,54,0,-0.400205054524,9,3.54965845152,7.5,4,0.213836477987,0.5,12.0474980077,3,228.553459119,68,1.16245321412,119.443867244,139,3.24903899139,2.23461784379,6,0.842310883745,14,1,1,153,12,Security,33,0.462424564645,68.3285353535,37,70.5,1,125,2.15,0,2.08158207317,18,63,0,2.28225880762,0,1,4.23243835176,1,0,1,1,2.21192346748,0.194941311895,0,0,20,110,0,2.83333333333,0,105,1.61912581056,0,55.9814814815,5.04716981132,4.78521718867,54,4.48148148148,7,3,75.0769393383,6,30.0645008912,0.998431366734,63,15.1179846249,11,8,0,1.78125,2.03793889621,903.874213836,15.2532374005,1.72222222222,0,823.674819625,4,16.15,0,0,1,3023,3,1.62008120366,0,-0.28568875217,0.800840350048,7,2.24659070846,16.8454861741,8,8,1,242,2,3.28757906378,10.5562543676,1.20095705027,5636.54682041,1,14.2222222222,0,16.5,8.97272727273,11,283.770404441
2.10931474094,0.809871029708,2.55242736424,3,1,0,2,41,6.46553952685,900.743936385,0,2.16122024323,32596,51,1,1,6,19.108612278,0,1,132.576702659,31.9903272949,4.94947157208,2.22474078762,osquery-master,11.2926641968,37,0,6.10824936788,0,13.428543189,1,978.136275705,3,2.61075033813,1,127.524264661,1.30769230769,6,41,1,32.1247698154,6.74331665303,13406,2,45,1,46.3333333333,14.302829582,220.675724386,6,0,1,1,536,0.515880654475,6.49880117621,4981,0.378248315688,1.8729547642,2,16,224,708,1412,0.05,0,0,0,1,16.1725789031,0,8.43107108269,10767,0,0.681424446583,2,6.81601732806,4.66666666667,1902,30.8700917996,1.18864292589,1946,1,77234,41,0.965437379891,1.55405830219,1,0,4,10.3628488932,31.3724735322,4.16265640038,0,2.47717970323,0,58.7161768178,11,0.00176358993474,66.8234442012,0.932069334491,4325,0,0,3,57,1039,0,13.3046305453,6,4.50712700902,8,10.9230769231,49.6997576223,1,30.0123963786,4,407.014626113,192,0.65589108476,2420.71226048,281,6.31265687364,2.28672825458,7,3.38341989194,18,26,1,3336,57,Security,415,7.04980550244,1614.66657598,30,85,3,201,3,1,2.54274252075,224,147,0,11.9253385014,0,1,9.29254030229,1,0,1,1.66666666667,2.32984818141,0.0757602458443,0,0,15,90,0,3.21077959577,0,1235,2.171389279,0,74.3349374398,16.6578412992,4.67087293976,1039,4.79403272377,5,1,117.11426432,393,30.5655877873,0.156318797951,391,20.1746034933,17,7,0,2,1.85360774824,934.255156785,18.4296647697,1.83060635226,0,19148.4216957,2,25,0,0,1,77234,1,3.65269581071,0,6.36144130129,3.11830944583,20,4.08140187915,16.5372173227,6,11,1,4981,1,5.66787171832,39.8496368043,3.27081048201,13715.7509073,1,12.9027911453,0,23,16.6666666667,15,273.479556777
1.81585404695,0.632347364939,3.45705199715,10,1,1,0,12,1.14741944682,106.544019105,2,1.51150389083,2206,47,3,1,12,8.33677383085,0,1,44.5541481905,21.7789618658,2.43954947248,1.56190571818,danyuan-application-master,1.45652715149,45,0,1.74469398113,0,4.1919532612,1,91.3316475496,2,5.45044032041,1,2.12147134303,1,3,16.25,1,102.999964357,3.58406367929,2663,4,28,1,28.25,3.03599746988,25.9518760609,16,0,4,3,75,0.446428571429,11.6016739849,1667,0.184523809524,0.619047619048,7,11,12,46,531,0.01,0,0,0,1,2.34719005639,0,13.814308388,653,0,0.27380952381,1,29.7072996863,4.66666666667,132,9.16621016459,3.86904761905,104,1,8794,22,0.576578059191,0.963469684889,4,0,2,3.8869047619,13.130952381,9.67261904762,0,2.99776103508,0,13.0761533176,3,0.00470487596236,2.15163607517,0.33244225834,1625,0,0,1,45,168,0,2.39185422581,3,3.62146081096,3,8,1.19329198745,0.5,10.3220162325,0,271.205268035,110,0.399863189945,277.176347182,168,10.0394413948,-0.219628609125,3,1.68930403963,13,1,1,1348,45,Security,117,1.09237904935,161.862907061,33,71,1,111,1.5,1,1.07117666462,12,63,0,11.2389153551,0,1,6.61611272964,1,0,0,1,1.64985920942,9.53959479851,0,0,21.25,47,0,8.02380952381,0,650,3.06666932614,0,52.3452380952,90.5982321072,2.28464401199,168,9.92261904762,12,3,61.973916485,31,18.3878896373,2.32287640837,56,16.4683110256,34,4,0,1.1525974026,0.875717759933,338.114485315,7.44056515089,0.785714285714,0,1250.01494535,7,7.92410714286,0,0,1,8794,3,2.43595340825,0,2.74805150748,1.69282470193,5,9.51831035989,9.20380560114,10.5,28,1,1667,1,10.1488898091,100.790383519,1.82979134484,3840.76632449,1,15.8511904762,0,6,3.88888888889,34,84.7100375435
1.30319000942,0.705091094952,2.21491895677,2,1,0.75,1,15,0.744755244755,4.68131868132,2,2.38823420322,3664,44,1,6,4.75,8.27621336358,0,1,38.0211232239,5.48896555665,3.96686646687,1.99169939169,owasp-seraphimdroid-master,2.13875175611,7,0,2.37240679678,0,6.10985153634,3,0,3,5.37646974384,1.2125,4.57425907426,2,7.85,72,1,6.40892440892,2.60510532086,1041,2,6,1,76,4.25430381977,44.6136507368,19,0.333333333333,5,2,71,0.910256410256,0.0391273363218,302,0,0.730769230769,2,12,0,41,433,0.03,0,1,0,3,3.88177176412,0,5.20965095821,108,1,0.525641025641,1,28.9064269064,3,55,0,3.94871794872,57,1,6109,27,0.287664010176,1.3864214845,4,0,1,1.38461538462,46.9743589744,2.82051282051,1,2.39792553982,0,8.329620645,14.5,0.00915750915751,5.93079593254,0.0827505827506,220,0,0,1,12,78,0,3.06378513934,4,2.24144066298,2,0,0,1,2.16363552414,3,222.099400599,86,0.497153452181,218.020768121,314,3.30036981147,6.7418828762,2,1.87811426267,20.25,0,1,152,15,Security,59,0,108.140875791,49.5,97.75,1,164,3.3125,1,0.862992030528,17,118,0,6.87222703163,0,1,5.75609920512,3,0,1,1.25,2.79513805283,0.449769434203,0,1,16.75,135,0,1.94871794872,0,308,0.992309856015,0,78.3205128205,1.60772560773,5.70366260945,78,3.87179487179,3,3,88.091229805,0,41.6381987331,1.03364831226,12,14.9029997182,12,10,0,1.76442307692,-2.92739179518,1733.73959374,22.3616984867,0.705128205128,0,1744.21248196,3,27.3333333333,0,0,1,6109,4,2.56470019694,0,1.97541101315,1.83113073014,4,1.26796120119,22.0784285467,8,5,1,302,0,2.53158535486,10.8924408924,1.90304376159,7760.06476856,3,13.3461538462,0,32,18,9,487.45700709
2.67364554781,0.641357861109,4.37054465165,3.75,1,2,1,62,8.95154295246,218.112093411,2,2.90116942631,3231,97,2,1,7,18.4796577999,0,1,57.2817312604,7.58809285669,46.4006672227,6.81180352203,LibScout-master,3.17785288481,25,0,4.92315988681,0,3.48399147546,6,48.4717201643,2.18181818182,9.6133811732,1,10.0987489575,1.75,3.20833333333,32.5,1,66.0084236864,5.84640906121,2526,2,28,1,48.2,16.5609864138,16.0616901158,15,0,5,2,65,0.590909090909,6.6581156285,732,0.327272727273,1.82727272727,3,24,11,226,654,0.11,0,1,0,1,19.1384835137,0,27.1049160181,624,1,2.05454545455,1,92.4170975813,3,196,6.34953748403,4.88181818182,201,1,8740,68,0.639602149067,1.07253662523,4,0,2,5.67272727273,29.3727272727,5.57272727273,0,4.09776895506,0,42.4351945166,4,0.0163469557965,27.9137980097,0.409090909091,613,0,0,2.75,59,110,1,16.0828942912,8,2.68604396267,5,4.85714285714,1.59833194329,0.666666666667,14.7686185343,8,1493.6500417,261,0.411339906006,289.503347586,398,9.06595239954,-0.571644209873,7,3.87391045616,8.25,7,1,328,64,Security,87,1.26425153482,117.979028776,31,97.25,2,228,3,1,2.99191292528,22,145,1,23.4324624839,0,1,6.98208558857,1,0,1,1,2.63184861442,1.13785323739,0,0,23,127,0,2.98181818182,0,537,2.4642622348,0,79.4545454545,11.6693911593,8.41678404017,110,6.65454545455,6,3,127.737161071,36,41.7299881371,0.977975881562,126,38.6477689097,28,7.76923076923,0,1.35606060606,0.61625124945,1741.39190992,12.801921942,1.78181818182,0,1408.21141362,4,12.9166666667,0,0,1,8740,3,3.91837768969,0,9.32481761713,3.51742172679,18,3.41604905692,18.6330221167,12,10,1,732,2,8.12455683015,82.1914929108,3.45735451921,16316.7823186,1,22.9636363636,0,11,5.88888888889,19,347.1895132
3.27746712627,0.775244353249,1.73200211577,5,2,2,1,56,6.99351132858,1409.13697124,1,0.864562180075,4737,37,1,2,8,30.4402862719,0,1,177.217929075,63.3167921833,15.0462716732,3.87895239378,osiam-master,3.19687258533,64,0,6.31291369225,0,3.76389003635,3,37.2457863962,2.85714285714,5.27257422925,1,10.2199943268,1.16954022989,3.33333333333,20,1,57.0714463,14.4098632622,3336,2,18,2,17,41.3442281058,17.9627642594,9,0,3,2,189,0.794117647059,160.569335626,1377,0.285714285714,1.51260504202,3,6.2,10,148,881,0.04,0,0,1,1,36.6036375991,0,3.71721164182,1578,1,0.621848739496,1,27.8000390029,6.25,409,5.97479822508,2.83613445378,360,1,10341,59,0.70235218036,1.10946220142,3,0,2,6.63025210084,19.9033613445,4.98319327731,0,9.99182153935,0,216.538022047,4,0.00725100166649,57.1325858583,0.493298585257,1186,0,0,2,64,238,1,33.0570517724,8,6.72370861628,6,7.41666666667,1.86738999397,0.666666666667,37.5384732141,2,437.839378789,195,0.601003807244,387.314601254,130,7.62852503525,-0.945836173045,6,5.412170457,9,12,1,989,64,Security,177,1.36652478718,264.052003939,28,49,2,856,2,1,2.64452478313,25,146.833333333,0,128.313633317,0,1,12.6029882472,1,0,1,1,1.62737227417,8.59044027876,0,1,19,51,0,4.15546218487,0,675,11.9187233528,0,43.4495798319,45.7014679289,0.747467763217,238,5.78571428571,6,3,76.5905573869,68,60.1612031828,2.10963461699,570,20.9246117954,15,3.33333333333,0,1.5,0.310564992122,3619.3703684,7.64375341945,1.71848739496,0,1819.21331383,4,8.925,0,0,1,10341,3,4.73418763298,0,13.7083315687,5.04668484148,17,6.76028608337,10.5562454323,7.5,15,1,1377,2,7.5545646003,58.1943942134,5.55674304588,5866.11348084,1,14.0168067227,0,8.5,5.64583333333,13,111.434317627
3.15046542721,0.764307799748,2.24692009801,4,2,2,1,28,6.44879065888,406.703586322,1,0.849221511177,1871,43,2,2,7,4.49861657939,0,1,45.7216579247,14.4582277511,10.8641367807,3.29607900097,bouncy-gpg-master,3.09511439384,13,0,4.0871944799,0,3.15213249188,15,14.6474688996,2.5,3.76189800019,1,9.57973311093,1.13392857143,3.57051282051,21,1,13.9619683069,6.7035177806,1345,2,36,3,30.5,2.25849408548,12.9608649839,8,0,2.75,2,38,0.345454545455,4.46884535064,528,0.227272727273,1.42727272727,2.5,5.75,4,87,404,0.03,0,0,0,1,5.3944627629,0,6.08136402037,738,0,0.790909090909,0,14.1518765638,3,177,3.64087430641,2.06363636364,157,1,5072,28,0.549167236712,0.798473698019,4,0,2,6.70909090909,17.0090909091,4.03636363636,0,2.20008751269,0,54.0102419567,4,0.0147623019183,22.2834212332,0.301584653878,444,0,0,2,23,110,0,4.04708286277,7,3.14323886399,6,8,0.4341117598,0.0208333333333,20.1668933235,4,175.498331943,69,0.584166412755,170.031041181,163,3.98345200903,0.81261459772,7,1.9612617409,10,1,1,351,24,Security,62,0.658871580659,87.8321067821,31,57,1,103,1.70238095238,1,2.53944691988,20,53,0,6.20576265621,0,1,6.29421529392,1,0,1,0.666666666667,1.54573673801,1.03329099081,0,0,15,55,0,3.19090909091,0,227,1.94143944689,0,46.1090909091,8.19257714762,0.721177175046,110,4.8,5,1,57.2758247438,25,18.4944799375,1.12370755534,182,13.2475783426,13,3.25,0,1,1.32004643618,342.045788157,9.82468009263,1.60909090909,0,1080.71481019,3,12.65,0,0,1,5072,1,2.0471118479,0,11.290986694,1.71581388503,14,2.86226783296,9.52062849757,8,10,1,528,1,3.7365717318,15.8678899083,1.6882976249,3280.52010008,1,12.2272727273,0,10,6.875,12,90.6423669888
13.2176782051,1.09605679652,5.85853954784,4,2,2,0,180,15.6934391674,2827.12065963,1,0.828193922796,54332,62,2,3,7,32.8806042457,0,1,800.69323487,378.726086138,26.0015626813,5.0991727448,graylog2-server-master,7.06469913311,68,0,16.7981064409,0,9.72982415921,3,653.142114054,2.42857142857,6.09596742378,1,49.9099738414,1,2.25,18,1,32.6304113202,42.8279415308,40241,2,25,2,20.625,48.1607652909,125.777229509,9,0,3,2,1990,0.770421989934,561.41839454,14174,0.382500967867,1.63530778165,3,13,94,1413,4317,0.00,0,0,0,1,26.4138139778,0,54.0905629808,16550,1,0.547038327526,0,37.1608188318,11,5200,22.5511777946,2.22841656988,4224,1,122936,185,0.871455472085,0.897302962426,3,0,4,6.4072783585,21.0344560588,4.78242353852,0,38.4036186808,0,2032.44550641,3,0.000779691320206,418.332249645,0.759434639826,12353,0,0,2,68,2583,0,24.2830476067,8,17.5603283595,4,6.02960526316,8.17199420749,0.258333333333,53.1706748089,2,675.37395795,361,1.2013405012,3435.97473071,167,6.3659793966,0.265644721654,6,4.02963437216,6,608,1,9036,74,Security,1376,2.85867000675,2317.73355195,16,42,2,4144,1.33333333333,1,3.96149456234,122,1037.75,0,1730.79886233,0,1,26.4362219267,1,0,0,0.666666666667,1.33022637658,20.2383714372,0,0,16,48,0,3.49825783972,0,5756,22.796913257,0,47.5942702284,21.8387847251,0.685905173756,2583,5.48741773132,6,1,170.483466168,988,148.653082498,3.73032650938,2550,25.9879579411,16,2.66666666667,0,1,0.943358960597,22097.7389363,7.68160342019,2.01316298877,0,19841.5816344,3,9.75,0,0,1,122936,3,4.66728562022,0,294.990762382,3.97720573909,102,4.673198554,22.4382572844,7,10,1,14174,2,5.71230350386,40.5256936779,5.452138178,29064.6122367,1,15.579171506,0,8,4.33333333333,14,503.475389962
